순번,시도본부,소방서,119안전센터명,주소,전화번호,팩스번호
1,서울특별시,종로소방서,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동),02-734-0119,02-723-8119
2,서울특별시,종로소방서,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,02-736-0119
3,서울특별시,종로소방서,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,02-764-0119
4,서울특별시,종로소방서,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,02-762-0119
5,서울특별시,종로소방서,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,02-395-2119
6,서울특별시,종로소방서,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,02-929-5289
7,서울특별시,중부소방서,무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),02-6981-0159,02-2237-0693
8,서울특별시,중부소방서,을지로119안전센터,서울특별시 중구 을지로45길 43 (신당동),02-6981-0175,02-2235-0698
9,서울특별시,중부소방서,충무로119안전센터,서울특별시 중구 충무로 11 (충무로3가),02-6981-0183,02-2285-1122
10,서울특별시,중부소방서,회현119안전센터,서울특별시 중구 소공로 30 (회현동2가),02-6981-0191,02-753-0119
11,서울특별시,중부소방서,신당119안전센터,서울특별시 중구 다산로8길 2 (신당동),02-6981-0199,02-2254-0119
12,서울특별시,광진소방서,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,02-454-0118
13,서울특별시,광진소방서,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781,02-3436-8119
14,서울특별시,광진소방서,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,02-2201-4119
15,서울특별시,용산소방서,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,02-792-5117
16,서울특별시,용산소방서,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,02-798-0119
17,서울특별시,용산소방서,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,02-773-1179
18,서울특별시,용산소방서,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,02-712-0119
19,서울특별시,용산소방서,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,02-796-1197
20,서울특별시,동대문소방서,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1352,02-2187-8184
21,서울특별시,동대문소방서,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1361,02-2187-8186
22,서울특별시,동대문소방서,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1366,02-2187-8187
23,서울특별시,동대문소방서,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1371,02-2187-8188
24,서울특별시,동대문소방서,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1376,02-2187-8189
25,서울특별시,영등포소방서,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,02-6981-7170
26,서울특별시,영등포소방서,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,02-785-1191
27,서울특별시,영등포소방서,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,02-2672-7118
28,서울특별시,영등포소방서,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,02-831-0119
29,서울특별시,영등포소방서,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,02-834-0119
30,서울특별시,성북소방서,종암119안전센터,서울특별시 성북구 종암로 27길 3 (종암동),02-6981-7351,
31,서울특별시,성북소방서,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,
32,서울특별시,성북소방서,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,
33,서울특별시,성북소방서,장위119안전센터,서울특별시 성북구 한천로 640 (장위동),02-6981-7383,
34,서울특별시,은평소방서,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,02-389-0674
35,서울특별시,은평소방서,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,02-382-0667
36,서울특별시,은평소방서,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,02-356-0674
37,서울특별시,은평소방서,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,02-307-0041
38,서울특별시,강남소방서,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,02-539-9008
39,서울특별시,강남소방서,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,02-542-0119
40,서울특별시,강남소방서,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,02-508-1193
41,서울특별시,강남소방서,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,02-451-0019
42,서울특별시,강남소방서,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,02-529-1119
43,서울특별시,강남소방서,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,02-451-0883
44,서울특별시,서초소방서,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-6981-5939,02-599-0119
45,서울특별시,서초소방서,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-6981-5970,02-523-9119
46,서울특별시,서초소방서,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-6981-5980,02-508-1193
47,서울특별시,서초소방서,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-6981-5985,02-3486-2729
48,서울특별시,서초소방서,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-6981-5990,02-594-3119
49,서울특별시,서초소방서,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-6981-5995,02-598-3063
50,서울특별시,강서소방서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,02-2187-8244
51,서울특별시,강서소방서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,02-2187-8245
52,서울특별시,강서소방서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,02-2187-8246
53,서울특별시,강서소방서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,02-2187-8247
54,서울특별시,강서소방서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,02-2187-8248
55,서울특별시,강서소방서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,02-2187-8249
56,서울특별시,강동소방서,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,02-6981-7717
57,서울특별시,강동소방서,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-476-0119,02-474-1721
58,서울특별시,강동소방서,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-441-0119,02-426-0431
59,서울특별시,강동소방서,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-3426-2119,02-429-0427
60,서울특별시,강동소방서,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-486-1727,02-487-6119
61,서울특별시,강동소방서,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,02-429-0121
62,서울특별시,마포소방서,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7930,02-3275-2119
63,서울특별시,마포소방서,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,02-713-0119
64,서울특별시,마포소방서,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,02-324-0119
65,서울특별시,마포소방서,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,02-309-0096
66,서울특별시,마포소방서,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,02-706-0119
67,서울특별시,마포소방서,상암119안전센터,서울특별시 마포구 월드컵북로 42길 34 (상암동),02-309-5119,02-303-4119
68,서울특별시,도봉소방서,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,02-2187-8276
69,서울특별시,도봉소방서,도봉119안전센터,서울특별시 도봉구 노해로 152 (도봉동),02-6981-8182,02-2187-8277
70,서울특별시,도봉소방서,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,02-2187-8278
71,서울특별시,도봉소방서,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,02-2187-8279
72,서울특별시,구로소방서,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,02-2619-0121
73,서울특별시,구로소방서,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119,02-2613-0119
74,서울특별시,구로소방서,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-2618-3104,02-2616-0119
75,서울특별시,구로소방서,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-855-1119,02-864-0119
76,서울특별시,구로소방서,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119,02-2671-2119
77,서울특별시,구로소방서,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119,02-837-7119
78,서울특별시,노원소방서,하계119안전센터,서울특별시 노원구 한글비석로 1길 8 (하계동),02-6981-6940,02-979-6119
79,서울특별시,노원소방서,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,02-3392-2736
80,서울특별시,노원소방서,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,02-975-0616
81,서울특별시,노원소방서,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,02-994-0397
82,서울특별시,노원소방서,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,02-939-6119
83,서울특별시,관악소방서,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,02-877-4119
84,서울특별시,관악소방서,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,02-877-2143
85,서울특별시,관악소방서,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,02-878-2069
86,서울특별시,관악소방서,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,02-839-3119
87,서울특별시,송파소방서,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,02-3401-3119
88,서울특별시,송파소방서,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5362,02-404-7119
89,서울특별시,송파소방서,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5372,02-409-8119
90,서울특별시,송파소방서,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5379,02-3431-2415
91,서울특별시,송파소방서,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387,02-417-0119
92,서울특별시,송파소방서,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5395,02-406-1084
93,서울특별시,양천소방서,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,02-2651-6119
94,서울특별시,양천소방서,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,02-2601-0112
95,서울특별시,양천소방서,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,02-2644-4727
96,서울특별시,양천소방서,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,02-2691-4189
97,서울특별시,양천소방서,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,02-2691-1134
98,서울특별시,중랑소방서,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850,02-3422-1195
99,서울특별시,중랑소방서,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,02-435-0119
100,서울특별시,중랑소방서,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,02-432-0119
101,서울특별시,중랑소방서,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,02-2207-0119
102,서울특별시,동작소방서,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,02-847-0900
103,서울특별시,동작소방서,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,02-813-5119
104,서울특별시,동작소방서,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,02-825-0693
105,서울특별시,동작소방서,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,02-816-0709
106,서울특별시,서대문소방서,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520,02-6981-5527
107,서울특별시,서대문소방서,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539,02-6981-5537
108,서울특별시,서대문소방서,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549,02-6981-5547
109,서울특별시,서대문소방서,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559,02-6981-5557
110,서울특별시,강북소방서,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250,02-6946-0229
111,서울특별시,강북소방서,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,02-998-9116
112,서울특별시,강북소방서,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,02-981-0119
113,서울특별시,강북소방서,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,02-984-5119
114,서울특별시,성동소방서,행당119안전센터,서울특별시 성동구 살곶이길 331 (행당동),02-2622-1740,02-2622-1749
115,서울특별시,성동소방서,성수119안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751,02-2622-1759
116,서울특별시,성동소방서,왕십리119안전센터,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761,02-2622-1769
117,서울특별시,성동소방서,금호119안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771,02-2622-1779
118,서울특별시,금천소방서,금천119안전센터,서울특별시 금천구 시흥대로 342(독산동),02-6981-6541,02-2187-8384
119,서울특별시,금천소방서,시흥119안전센터,서울특별시 금천구 시흥대로 45길 31(시흥동),02-6981-6551,02-2187-8385
120,부산광역시,중부소방서,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6111,051-760-6119
121,부산광역시,중부소방서,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6121,051-760-6129
122,부산광역시,중부소방서,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,051-760-6139
123,부산광역시,중부소방서,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6141,051-760-6149
124,부산광역시,중부소방서,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6151,051-760-6159
125,부산광역시,부산진소방서,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,051-760-6219
126,부산광역시,부산진소방서,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,051-760-6229
127,부산광역시,부산진소방서,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,051-760-6239
128,부산광역시,부산진소방서,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,051-760-6249
129,부산광역시,부산진소방서,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,051-760-6259
130,부산광역시,부산진소방서,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,051-760-6269
131,부산광역시,부산진소방서,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,051-760-6279
132,부산광역시,동래소방서,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6311,051-760-6319
133,부산광역시,동래소방서,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6321,051-760-6329
134,부산광역시,동래소방서,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6331,051-760-6339
135,부산광역시,동래소방서,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),051-760-6341,051-760-6349
136,부산광역시,동래소방서,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6351,051-760-6359
137,부산광역시,북부소방서,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),051-760-6411,051-760-6419
138,부산광역시,북부소방서,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6421,051-760-6429
139,부산광역시,북부소방서,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-6431,051-760-6439
140,부산광역시,북부소방서,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-6451,051-760-6459
141,부산광역시,북부소방서,주례119안전센터,부산광역시 사상구 양지로22(주례동),051-760-6461,051-760-6469
142,부산광역시,북부소방서,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6471,051-760-6479
143,부산광역시,북부소방서,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6481,051-760-6489
144,부산광역시,북부소방서,금곡119안전센터,부산광역시 북구 금곡대로616번길 151(금곡동),051-760-6491,051-760-6499
145,부산광역시,북부소방서,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-6441,051-760-6449
146,부산광역시,사하소방서,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6511,051-760-6519
147,부산광역시,사하소방서,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6521,051-760-6529
148,부산광역시,사하소방서,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6531,051-760-6539
149,부산광역시,사하소방서,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6541,051-760-6549
150,부산광역시,사하소방서,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6551,051-760-6559
151,부산광역시,해운대소방서,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6611,051-760-6619
152,부산광역시,해운대소방서,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6621,051-760-6629
153,부산광역시,해운대소방서,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6631,051-760-6639
154,부산광역시,해운대소방서,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6651,051-760-6659
155,부산광역시,해운대소방서,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6641,051-760-6649
156,부산광역시,해운대소방서,반송119안전센터,부산광역시 해운대구 아랫반송로 10,051-760-6661,051-760-6669
157,부산광역시,금정소방서,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,051-760-6719
158,부산광역시,금정소방서,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6721,051-760-6729
159,부산광역시,금정소방서,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6731,051-760-6739
160,부산광역시,금정소방서,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6751,051-760-6759
161,부산광역시,금정소방서,회동119안전센터,부산광역시 금정구 개좌로 286(회동동),051-760-6741,051-760-6749
162,부산광역시,남부소방서,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6811,051-760-6819
163,부산광역시,남부소방서,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6821,051-760-6829
164,부산광역시,남부소방서,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6831,051-760-6839
165,부산광역시,남부소방서,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6841,051-760-6849
166,부산광역시,남부소방서,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6851,051-760-6859
167,부산광역시,강서소방서,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6011,051-760-6019
168,부산광역시,강서소방서,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6021,051-760-6029
169,부산광역시,강서소방서,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6031,051-760-6039
170,부산광역시,강서소방서,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6041,051-760-6049
171,부산광역시,강서소방서,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6051,051-760-6059
172,부산광역시,기장소방서,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5411,051-760-5419
173,부산광역시,기장소방서,일광119안전센터,부산광역시 기장군 일광읍 해빛5로 15,051-760-5421,051-760-5429
174,부산광역시,기장소방서,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5431,051-760-5439
175,부산광역시,기장소방서,장안119안전센터,부산광역시 기장군 기장읍 길천3길 11,051-760-5441,051-760-5449
176,부산광역시,항만소방서,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6911,051-760-6919
177,부산광역시,항만소방서,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6921,051-760-6929
178,부산광역시,항만소방서,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6931,051-760-6939
179,부산광역시,항만소방서,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6941,051-760-6949
180,대구광역시,중부소방서,남산119안전센터,대구광역시 중구 달구벌대로 1926,053-601-4571,053-255-2377
181,대구광역시,중부소방서,서문로119안전센터,대구광역시 중구 경상감영길 45,053-601-4572,053-255-1194
182,대구광역시,중부소방서,봉덕119안전센터,대구광역시 남구 희망로3길 29,053-601-4573,053-473-0119
183,대구광역시,중부소방서,대신119안전센터,대구광역시 중구 큰장로26길 45,053-601-4574,053-255-0020
184,대구광역시,중부소방서,삼덕119안전센터,대구광역시 중구 공평로 35,053-601-4575,053-427-0119
185,대구광역시,중부소방서,명덕119안전센터,대구광역시 남구 명덕로34길 22,053-601-4577,053-626-0118
186,대구광역시,중부소방서,성명119안전센터,대구광역시 남구 대명남로 12-1,053-601-4578,053-629-5119
187,대구광역시,동부소방서,신천119안전센터,대구광역시 동구 동대구로 507,053-605-5351,053-755-3119
188,대구광역시,동부소방서,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5330,053-985-9119
189,대구광역시,동부소방서,안심119안전센터,대구광역시 동구 매여로 102,053-605-5341,053-961-4119
190,대구광역시,동부소방서,불로119안전센터,대구광역시 동구 팔공로50길 19,053-605-5351,053-982-6119
191,대구광역시,동부소방서,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5361,053-982-5119
192,대구광역시,동부소방서,율하119안전센터,대구광역시 동구 율하동로8길 5,053-605-5371,053-964-8911
193,대구광역시,서부소방서,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492,053-352-8953
194,대구광역시,서부소방서,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493,053-552-0119
195,대구광역시,서부소방서,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495,053-557-0119
196,대구광역시,서부소방서,비산119안전센터,대구광역시 서구 달서로 206,053-320-4496,053-565-5119
197,대구광역시,북부소방서,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5721,053-350-5729
198,대구광역시,북부소방서,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5741,053-350-5749
199,대구광역시,북부소방서,노원119안전센터,대구광역시 북구 노원로 42,053-350-5750,053-350-5759
200,대구광역시,북부소방서,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770,053-350-5779
201,대구광역시,북부소방서,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5790,053-350-5799
202,대구광역시,수성소방서,범물119안전센터,대구광역시 수성구 청호로 87,053-607-3822,053-607-3839
203,대구광역시,수성소방서,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,053-607-3840,
204,대구광역시,수성소방서,황금119안전센터,대구광역시 수성구 동대구로12길 41,053-607-3850,
205,대구광역시,수성소방서,상동119안전센터,대구광역시 수성구 파동로51길 5,053-607-3862,053-763-1819
206,대구광역시,수성소방서,수성119안전센터,대구광역시 수성구 들안로60길 30,053-607-3870,053-746-2119
207,대구광역시,수성소방서,무열로119안전센터,대구광역시 수성구 무열로 139,053-607-3880,053-743-7119
208,대구광역시,수성소방서,고산119안전센터,대구광역시 수성구 고산로 105,053-607-3891,053-791-3119
209,대구광역시,수성소방서,가창119안전센터,대구광역시 달성군 가창면 가창로 547,053-607-3900,053-767-8119
210,대구광역시,달서소방서,월성119안전센터,대구광역시 달서구 학산로 75,059-607-2940,053-635-0228
211,대구광역시,달서소방서,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2950,053-625-0019
212,대구광역시,달서소방서,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2960,053-632-1990
213,대구광역시,달서소방서,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2970,053-636-8110
214,대구광역시,달서소방서,죽전119안전센터,대구광역시 달서구 와룡로 222,053-607-2990,053-563-0120
215,대구광역시,달성소방서,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4930,053-670-5426
216,대구광역시,달성소방서,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4951,053-615-6119
