department,station,address
강원소방본부,강릉소방서,강원 강릉시 선수촌로 64-28
강원소방본부,고성소방서,강원 고성군 간성읍 수성로 37-11
강원소방본부,동해소방서,강원 동해시 천곡로 120 임동화물터미널
강원소방본부,삼척소방서,강원도 삼척시 봉황로 101
강원소방본부,속초소방서,강원특별자치도 속초시 미시령로 3226
강원소방본부,양구소방서,강원 양구군 양구읍 중심로 92
강원소방본부,양양소방서,강원 양양군 양양읍 남대천로 33
강원소방본부,영월소방서,강원도 영월읍 영월로 1863
강원소방본부,원주소방서,강원도 동부순환로 201
강원소방본부,인제소방서,강원도 인제읍 비봉로 44길 71
강원소방본부,정선소방서,강원 정선군 정선읍 녹송로 27
강원소방본부,철원소방서,강원 철원군 갈말읍 태봉로 1504 철원소방서
강원소방본부,춘천소방서,강원 춘천시 후석로 446 춘천소방서
강원소방본부,태백소방서,강원특별자치도 태백시 태백로 1120
강원소방본부,평창소방서,강원도 평창군 진부면 진부로 37
강원소방본부,화천소방서,강원 화천군 하남면 위라리길 47
경기소방재난본부,가평소방서,경기도 가평군 가평읍 가화로 36
경기소방재난본부,고양소방서,경기도 고양시 덕양구 고양대로 1342
경기소방재난본부,과천소방서,경기도 과천시 통영로 12
경기소방재난본부,광명소방서,경기도 광명시 금하로472(소하동)
경기소방재난본부,광주소방서,경기도 광주시 초월읍 무들로 112 광주소방서
경기소방재난본부,구리소방서,경기도 구리시 수택동 334-9(수택천로16번길 88)
경기소방재난본부,군포소방서,경기도 군포시 고산로 429
경기소방재난본부,김포소방서,경기도 김포시 감암로 111
경기소방재난본부,남양주소방서,경기도 남양주시 평내로 25(경기도 남양주시 평내동 570)
경기소방재난본부,동두천소방서,경기 동두천시 지행로 6 동두천소방서
경기소방재난본부,부천소방서,경기도 부천시 원미구 신흥로 115
경기소방재난본부,분당소방서,경기도 성남시 분당구 양현로 14
경기소방재난본부,성남소방서,경기도 성남시 중원구 하대원동 2
경기소방재난본부,송탄소방서,경기도 평택시 경기대로 1627
경기소방재난본부,수원남부소방서,경기도 수원시 권선구 동수원로 286
경기소방재난본부,수원소방서,경기도 수원시 장안구 정자천로189번길 12 
경기소방재난본부,시흥소방서,경기도 시흥시 정왕신길로 206
경기소방재난본부,안산소방서,경기도 안산시 단원구 화랑로 407
경기소방재난본부,안성소방서,경기도 안성시 공단2로 74
경기소방재난본부,안양소방서,경기도 안양시 동안구 평촌대로211번길 56
경기소방재난본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156 양주소방서
경기소방재난본부,양평소방서,경기도 양평군 양평읍 경강로 2047
경기소방재난본부,여주소방서,경기도 여주시 우암로 110
경기소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892(우11025)
경기소방재난본부,오산소방서,경기도 오산시 운암로 77
경기소방재난본부,용인소방서,경기도 용인시 처인구 명지로 45(역북동)
경기소방재난본부,의왕소방서,경기도 의왕시 오봉로 9
경기소방재난본부,의정부소방서,경기도 의정부시 금오로23번길 22-40
경기소방재난본부,이천소방서,경기도 이천시 대월면 경충대로 1973
경기소방재난본부,일산소방서,경기도 고양시 일산동구 중앙로 1325
경기소방재난본부,파주소방서,경기도 파주시 파주읍 통일로 1564
경기소방재난본부,평택소방서,경기도 평택시 중앙로 273
경기소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538 포천소방서 119구조대
경기소방재난본부,하남소방서,경기도 하남시 덕풍서로 60 
경기소방재난본부,화성소방서,경기도 화성시 향남읍 향남로 399
경남소방본부,거창소방서,경상남도 거창군 거창읍 거함대로 3324
경남소방본부,고성소방서,경상남도 고성읍 남해안대로 2670
경남소방본부,김해동부소방서,경상남도 김해시 김해대로 2507
경남소방본부,남해소방서,경상남도 남해군 남해읍 스포츠로 81
경남소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55
경남소방본부,밀양소방서,경상남도 밀양시 밀양대공원로 66
경남소방본부,사천소방서,경상남도 사천시 용현4길 46(용현면 덕곡리 717-1)
경남소방본부,산청소방서,경상남도 산청군 산청읍 중앙로 76-7
경남소방본부,성산소방서,경상남도 창원시 성산구 창원대로 786
경남소방본부,양산소방서,경상남도 양산시 물금읍 황산로 719
경남소방본부,의령소방서,경상남도 의령군 의령읍 의병로 108-17
경남소방본부,의창소방서,경상남도 창원시 의창구 중동중앙로 119
경남소방본부,창녕소방서,경상남도 창녕군 대지면 우포2로 109
경남소방본부,창원소방본부(진해소방서),경상남도 창원시 진해구 진해대로 1101
경남소방본부,통영소방서,경상남도 통영시 광도면 죽림4로 49
경남소방본부,하동소방서,경상남도 하동군 금성면 금성로 15
경남소방본부,함안소방서,경상남도 함안군 가야읍 선왕길59
경남소방본부,합천소방서,경상남도 합천군 합천읍 인덕로 2453
경북소방본부,경산소방서,경상북도 경산시 대학로 212
경북소방본부,경주소방서,경상북도 경주시 황성로 39
경북소방본부,고령소방서,경상북도 고령군 대가야읍 벽화길 18
경북소방본부,구미소방서,경상북도 구미시 수출대로 112
경북소방본부,김천소방서,경상북도 김천시 강변로 219
경북소방본부,문경소방서,경상북도 문경시 중앙로 305
경북소방본부,봉화소방서,경상북도 봉화군 봉화읍 내성천3길 152
경북소방본부,상주소방서,경상북도 상주시 경상대로 3203-11
경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193
경북소방본부,안동소방서,경상북도 안동시 육사로 301
경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401
경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17
경북소방본부,영천소방서,경상북도 영천시 호국로 187
경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12
경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508
경북소방본부,의성소방서,경상북도 의성군 봉양면 경북대로 4741
경북소방본부,청도소방서,경북 청도군 청도읍 중앙로 192-34
경북소방본부,청송소방서,경상북도 청송군 청송읍 굿바들길 19
경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216
경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890
경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332
대구소방본부,대구강북소방서,대구 북구 구암서로 71
대구소방본부,대구강서소방서,대구 달성군 다사읍 달구벌대로 920
대구소방본부,대구달서소방서,대구 달서구 학산로 75 달서소방서
대구소방본부,대구달성소방서,대구 달성군 현풍읍 비슬로 480
대구소방본부,대구동부소방서,대구 동구 각산동 1022
대구소방본부,대구북부소방서,대구 북구 칠성남로 112
대구소방본부,대구서부소방서,대구 서구 달서천로 186
대구소방본부,대구수성소방서,대구 수성구 청호로 87
대구소방본부,대구중부소방서,대구 중구 달구벌대로 1926 대구중부소방서
대전소방본부,대전대덕소방서,대전광역시 대덕구 계족로 682
대전소방본부,대전동부소방서,대전광역시 동구 계족로 300
대전소방본부,대전둔산소방서,대전광역시 서구 갈마중로 15
대전소방본부,대전서부소방서,대전광역시 서구 복수서로 67
대전소방본부,대전유성소방서,대전광역시 유성구 대덕대로 516
부산소방재난본부,부산강서소방서,부산광역시 강서구 녹산산단361로 9
부산소방재난본부,부산금정소방서,부산광역시 금정구 중앙대로 1789
부산소방재난본부,부산기장소방서,부산광역시 기장군 정관읍 용수로 7
부산소방재난본부,부산남부소방서,부산광역시 수영구 광일로 64
부산소방재난본부,부산동래소방서,부산광역시 연제구 고분로 216
부산소방재난본부,부산북부소방서,부산광역시 북구 금곡대로 680
부산소방재난본부,부산사상소방서,부산광역시 사상구 사상로 363
부산소방재난본부,부산사하소방서,부산광역시 사하구 장평로 270
부산소방재난본부,부산중부소방서,부산광역시 중구 중앙대로 110
부산소방재난본부,부산진소방서,부산광역시 부산진구 서전로 43
부산소방재난본부,부산항만소방서,부산광역시 영동구 해양로 297
부산소방재난본부,부산해운대소방서,부산광역시 해운대구 해운대해변로 264
서울소방재난본부,서울강남소방서,서울특별시 강남구 테헤란로 629
서울소방재난본부,서울강동소방서,서울특별시 강동구 성내로 39
서울소방재난본부,서울강북소방서,서울특별시 강북구 한천로 911
서울소방재난본부,서울강서소방서,서울특별시 강서구 양천로 550
서울소방재난본부,서울관악소방서,서울특별시 관악구 관악로 97
서울소방재난본부,서울광진소방서,서울특별시 광진구 광나루로 480
서울소방재난본부,서울구로소방서,서울특별시 구로구 경인로 408
서울소방재난본부,서울금천소방서,서울특별시 금천구 시흥대로 342
서울소방재난본부,서울노원소방서,서울특별시 노원구 한글비석로1길 8
서울소방재난본부,서울도봉소방서,서울특별시 도봉구 도봉로 666
서울소방재난본부,서울동대문소방서,서울특별시 동대문구 장한로 34
서울소방재난본부,서울동작소방서,서울특별시 동작구 여의대방로16길 55
서울소방재난본부,서울마포소방서,서울특별시 마포구 창전로 76
서울소방재난본부,서울서대문소방서,서울특별시 서대문구 연희로 182
서울소방재난본부,서울서초소방서,서울특별시 서촟구 사평대로 67
서울소방재난본부,서울성동소방서,서울특별시 성동구 살곶이길 331
서울소방재난본부,서울성북소방서,서울특별시 성북구 종암로27길 3
서울소방재난본부,서울송파소방서,서울특별시 송파구 오금로51길 56
서울소방재난본부,서울양천소방서,서울특별시 양천구 목동서로 180
서울소방재난본부,서울영등포소방서,서울특별시 영등포구 문래로 197
서울소방재난본부,서울용산소방서,서울특별시 용산구 한강대로 167
서울소방재난본부,서울은평소방서,서울특별시 은평구 통일로 962
서울소방재난본부,서울종로소방서,서울특별시 종로구 율곡로 78
서울소방재난본부,서울중랑소방서,서울특별시 중랑구 신내로 183
서울소방재난본부,서울중부소방서,서울특별시 중구 퇴계로 394
세종소방본부,세종남부소방서,세종특별자치시 절재로 301
세종소방본부,세종북부소방서,세종특별자치시 조치원읍 세종로 2439
울산소방본부,울산남부소방서,울산광역시 남구 중앙로 201
울산소방본부,울산남울주소방서,울산광역시 울주군 온산읍 덕신로 232
울산소방본부,울산동부소방서,울산광역시 동구 꽃바위2가길 9 동부소방서
울산소방본부,울산서울주소방서,울산광역시 울주군 언양읍 남천둑길 99
울산소방본부,울산중부소방서,울산 중구 종가로 205
울산소방본부 ,울산북부소방서,울산 북구 화동로 178
인천소방본부,인천강화소방서,인천광역시 강화군 불은면 중앙로 505
인천소방본부,인천검단소방서,인천광역시 검단구 원당대로 736(마전동)
인천소방본부,인천계양소방서,인천광역시 계양구 장제로 774
인천소방본부,인천공단소방서,인천광역시 남동구 남동서로 208
인천소방본부,인천남동소방서,인천광역시 남동구 인주대로 714
인천소방본부,인천미추홀소방서,인천광역시 미추홀구 인하로 190
인천소방본부,인천부평소방서,인천광역시 부평구 부평대로 324
인천소방본부,인천서부소방서,인천광역시 서해구 서곶로292
인천소방본부,인천송도소방서,인천광역시 연수구 첨단대로60번길 15
인천소방본부,인천영종소방서,인천광역시 영종구 제2터미널대로 268
인천소방본부,인천중부소방서,인천광역시 제물포구 인중로 204
전남광주소방안전본부,강진소방서,전남광주통합특별시 강진군 군동면 중앙로 223
전남광주소방안전본부,고흥소방서,전남광주통합특별시 고흥군 풍양면 고흥로 1330
전남광주소방안전본부,곡성소방서,전남광주통합특별시 곡성군 곡성읍 학교로 7
전남광주소방안전본부,광양소방서,전남광주통합특별시 광양시 중마중앙로 109
전남광주소방안전본부,구례소방서,전남광주통합특별시 구례군 구례읍 양정4길 37
전남광주소방안전본부,나주소방서,전남광주통합특별시 나주시 예향로 4201
전남광주소방안전본부,목포소방서,전남광주통합특별시 목포시 삼향천로 110
전남광주소방안전본부,무안소방서,전남광주통합특별시 무안군 무안읍 공항로 133
전남광주소방안전본부,보성소방서,전남광주통합특별시 보성군 벌교읍 녹색로 5247
전남광주소방안전본부,순천소방서,전남광주통합특별시 순천시 서면 삼산로 281
전남광주소방안전본부,영광소방서,전남광주통합특별시 영광군 영광읍 함영로 3508
전남광주소방안전본부,영암소방서,전남광주통합특별시 영암군
전남광주소방안전본부,장성소방서,전남광주통합특별시 장성군
전남광주소방안전본부,장흥소방서,전남광주통합특별시 장흥군 장흥읍 북부로 140
전남광주소방안전본부,전남광주동부소방서,전남광주통합특별시 동구 제봉로 210
전남광주소방안전본부,전남광주서부소방서,전남광주통합특별시 서구 화운로 197
전남광주소방안전본부,전남광주남부소방서,전남광주 남구 송암로58번길 13
전남광주소방안전본부,전남광주북부소방서,전남광주 북구 서하로 290
전남광주소방안전본부,함평소방서,전남광주통합특별시 함평군 대동면 함장로 1202-93
전남광주소방안전본부,해남소방서,전남광주통합특별시 해남군 해남읍 교육청길 82
전북소방본부,고창소방서,전북특별자치도 고창읍 녹두로 1294
전북소방본부,군산소방서,전북특별자치도 군산시 번영로 308
전북소방본부,김제소방서,전북특별자치도 김제시 벽성로 278
전북소방본부,남원소방서,전북특별자치도 남원시 요천로 1965
전북소방본부,무주소방서,전북특별자치도 무주군 무주읍 당산강변로 126
전북소방본부,부안소방서,전북특별자치도 부안군 행안면 변산로 86
전북소방본부,순창소방서,전북특별자치도 순창군 순창읍 교성로 24
전북소방본부,완주소방서,전북특별자치도 완주군 삼례읍 삼봉로 518
전북소방본부,익산소방서,전북특별자치도 익산시 무왕로 1338
전북소방본부,임실소방서,전북특별자치도 임실군 임실읍 감천로 33
전북소방본부,장수소방서,전북특별자치도 장수군 장수읍 호비로 42
전북소방본부,전주완산소방서,전북특별자치도 전주시 완산구 거마평로 73
전북소방본부,정읍소방서,전북특별자치도 정읍시 서부산업도로 507-5
전북소방본부,진안소방서,전북특별자치도 진안군 진안읍 쇠징계로 9
충남소방본부,계룡소방서,충청남도 계룡시 엄사면 문화로32
충남소방본부,공주소방서,충청남도 공주시 무령로 55
충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2
충남소방본부,논산소방서,충청남도 논산시 내동 499
충남소방본부,당진소방서,충청남도 당진시 역천로 838
충남소방본부,보령소방서, 충청남도 보령시 성주산로 63
충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17
충남소방본부,서산소방서,충청남도 서산시 예천동 496-16
충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37
충남소방본부,아산소방서,충청남도 아산시 모종로 77
충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111
충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580
충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단2길 32
충남소방본부,청양소방서,충청남도 청양군 청양읍 송방리 348
충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100
충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741
충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69
충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56
충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4115
충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174
충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 동부로 15
충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11
충북소방본부,제천소방서,충청북도 제천시 신죽하로 164
충북소방본부,증평소방서,충청북도 증평군 증평읍 충청대로 1789
충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93
충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61
충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 가경로 143
충북소방본부,충주소방서,충청북도 충주시 목행산단7로 9
제주소방안전본부,제주동부소방서,제주특별자치도 서귀포시 성산읍 일주동로4120번길 7
제주소방안전본부,제주서귀포소방서,제주특별자치도 서귀포시 서호남로 20(법환동)
제주소방안전본부,제주서부소방서,제주특별자치도 제주시 한림읍 한림중앙로 150
제주소방안전본부,제주소방서,제주특별자치도 제주시 중앙로 342 제주소방서